# DELTA delay [\nano\second]    Impulse/10sekunden
-50          2        
-40          3  
-30          13   
-25          8   
-20          9   
-19          11   
-18          33   
-17          28   
-16          48   
-15          55   
-14.5        45   
-14          65   
-13.5        86   
-13          88   
-12.5        98   
-12          123   
-11.5        115   
-11          126   
-10.5        139   
-10          131   
-9.5         138   
-9           189   
-8.5         173   
-8           149   
-7.5         182   
-7           194   
-6.5         201   
-6           207   
-5.5         218   
-5           254   
-4.5         238   
-4           237   
-3.5         224   
-3           188   
-2.5         218   
-2           213   
-1.5         254   
-1           233   
-0.5         215   
0            247      
0.5          185 
1            204   
1.5          179
2            198    
2.5          238
3            247   
3.5          220
4            189   
4.5          189   
5            242   
5.5          206
6            184   
6.5          214
7            208   
7.5          205
8            211   
8.5          163
9            148   
9.5          147
10           131   
10.5         133   
11           135   
11.5         105   
12           107   
12.5         103   
13           103   
13.5         93   
14           73   
14.4         72   
15           47   
16           47   
17           33   
18           10   
19           7   
20           7   
25           5   
30           7   
40           6   
50           4  
