#filterindex    minimum    winkel[grad]    winkel[minute]      filter wellenlänge[micrometer]
1     1        162      00             1.06
1     2        149      30             1.06
2     1        154      0              1.29       
2     2        163      0              1.29       
3     1        162      6              1.45       
3     2        153      3              1.45       
4     1        155      01             1.72       
4     2        164      43             1.72       
5     1        161      25             1.96       
5     2        170      5              1.96       
6     1        173      45             2.156       
6     2        162      5              2.156       
7     1        183      35             2.34       
7     2        196      05             2.34       
8     1        210      20             2.51       
8     2        203      45             2.51       
9     1        236      15             2.65
9     2        248      05             2.65
