#filterindex    minimum    winkel[grad]    winkel[minute]      filter wellenlänge[micrometer]
1     1           136             4                   1.06
1     2           158             35                  1.06
2     1           163             4                   1.29       
2     2           147             0                   1.29       
3     1           147             05                  1.45       
3     2           159             11                  1.45       
4     1           161             0                   1.72       
4     2           152             0                   1.72       
5     1           158             4                   1.96       
5     2           165             3                   1.96       
6     1           168             2                   2.156       
6     2           163             05                  2.156       
7     1           185             4                   2.34       
7     2           190             10                  2.34       
8     1           204             02                  2.51       
8     2           199             39                  2.51       
9     1           169             51                  2.65
9     2           175             11                  2.65
