# 2 Grad/min
#    zeit [min] Temperatu [celsius]     Strom [amp] *10**-11

0         -64.1              0.055
1         -65.1              0.0455                               
2         -65                0.04             
3         -63                0.041                  
4         -60.3              0.049                     
5         -57.8              0.055                    
6         -55.7              0.065                    
7         -53.3              0.074                    
8         -51.0              0.082                    
9         -48.6              0.089                    
10        -46.3              0.096                   
11        -44.0              0.105                    
12        -41.8              0.12                    
13        -39.6              0.14                   
14        -37                0.16

32        5.3               0.85                  
33        7.2               0.89                  
34        9.1               0.94                  
35        11.1              1                   
36        12.9              1.09                   
37        14.9              1.2                   
38        16.5              1.3                   
39        18.3              1.4                               
40        20.1              1.54                                  
41        21.7              1.67                       
42        23.4              1.86                      
43        25.2              2.05                       
44        26.9              2.30 
45        28.4              2.6                       
46        30.1              2.9                       
47        31.8              3.25
