# 2 Grad/min
#    zeit [min] Temperatu [celsius]     Strom [amp] *10**-11

15        -34.0              0.22                  
16        -31                0.3                 
17        -28                0.45                  
18        -25.3              0.62                    
19        -22.4              0.92                    
20        -19.7              1.4                    
21        -17.5              1.6                    
22        -15.2              1.95                    
23        -13                2.1                  
24        -10.8              2.1               
25        -8.9               2                 
26        -6.4               1.6                 
27        -4.4               1.25                 
28        -2.5               1                 
29        -0.5               0.85                  
30        1.4               0.8                 
31        3.5               0.75    
                      
48        33.6              3.7                       
49        35.1              4                       
50        36.5              4.35                      
51        38.3              4.60                     
52        40                4.85                       
53        41.7              5                      
54        43.4              5                       
55        45.2              4.90                       
56        47.0              4.60                      
57        48.3              4.20                      
58        50.7              3.80                       
59        52.7              3.35                   
60        54.5              2.96                                                       
